32 generic
0 0 1
0 1 1
0 2 4
0 3 4
0 4 0
0 5 0
0 6 5
0 7 4
0 8 3
0 9 5
0 10 3
0 11 1
0 12 0
0 13 5
0 14 5
0 15 5
0 16 3
0 17 0
0 18 5
0 19 0
0 20 1
0 21 0
0 22 0
0 23 1
0 24 0
0 25 4
0 26 0
0 27 1
0 28 5
0 29 1
0 30 0
0 31 1
1 0 0
1 1 0
1 2 1
1 3 2
1 4 4
1 5 0
1 6 0
1 7 2
1 8 2
1 9 0
1 10 2
1 11 3
1 12 1
1 13 1
1 14 2
1 15 3
1 16 4
1 17 0
1 18 5
1 19 1
1 20 0
1 21 3
1 22 0
1 23 5
1 24 0
1 25 2
1 26 2
1 27 0
1 28 4
1 29 0
1 30 5
1 31 2
2 0 0
2 1 0
2 2 0
2 3 2
2 4 0
2 5 2
2 6 3
2 7 0
2 8 0
2 9 0
2 10 0
2 11 3
2 12 0
2 13 4
2 14 4
2 15 0
2 16 3
2 17 0
2 18 5
2 19 3
2 20 0
2 21 4
2 22 0
2 23 4
2 24 5
2 25 4
2 26 5
2 27 0
2 28 0
2 29 5
2 30 0
2 31 0
3 0 1
3 1 0
3 2 0
3 3 4
3 4 1
3 5 0
3 6 5
3 7 2
3 8 1
3 9 0
3 10 3
3 11 0
3 12 0
3 13 3
3 14 5
3 15 0
3 16 1
3 17 5
3 18 0
3 19 0
3 20 0
3 21 0
3 22 1
3 23 0
3 24 0
3 25 0
3 26 3
3 27 0
3 28 2
3 29 2
3 30 4
3 31 2
4 0 0
4 1 4
4 2 5
4 3 0
4 4 5
4 5 0
4 6 4
4 7 5
4 8 2
4 9 4
4 10 5
4 11 5
4 12 3
4 13 5
4 14 3
4 15 0
4 16 2
4 17 3
4 18 0
4 19 0
4 20 2
4 21 2
4 22 0
4 23 0
4 24 2
4 25 0
4 26 0
4 27 1
4 28 1
4 29 3
4 30 0
4 31 1
5 0 5
5 1 1
5 2 1
5 3 1
5 4 0
5 5 3
5 6 0
5 7 5
5 8 4
