34 generic
0 0 4
0 1 0
0 2 1
0 3 3
0 4 4
0 5 4
0 6 2
0 7 0
0 8 1
0 9 5
0 10 2
0 11 5
0 12 0
0 13 5
0 14 1
0 15 3
0 16 0
0 17 5
0 18 0
0 19 0
0 20 3
0 21 0
0 22 1
0 23 1
0 24 2
0 25 5
0 26 4
0 27 0
0 28 4
0 29 5
0 30 5
0 31 0
0 32 2
0 33 5
1 0 4
1 1 1
1 2 5
1 3 3
1 4 5
1 5 2
1 6 1
1 7 0
1 8 5
1 9 3
1 10 0
1 11 2
1 12 1
1 13 1
1 14 3
1 15 2
1 16 5
1 17 0
1 18 0
1 19 5
1 20 2
1 21 3
1 22 1
1 23 5
1 24 1
1 25 3
1 26 2
1 27 3
1 28 4
1 29 3
1 30 2
1 31 3
1 32 3
1 33 3
2 0 5
2 1 1
2 2 5
2 3 5
2 4 0
2 5 0
2 6 5
2 7 3
2 8 4
2 9 2
2 10 0
2 11 1
2 12 0
2 13 4
2 14 2
2 15 2
2 16 1
2 17 3
2 18 4
2 19 2
2 20 4
2 21 0
2 22 0
2 23 0
2 24 1
2 25 1
2 26 0
2 27 4
2 28 3
2 29 0
2 30 5
2 31 4
2 32 1
2 33 5
3 0 1
3 1 5
3 2 1
3 3 0
3 4 0
3 5 0
3 6 0
3 7 5
3 8 4
3 9 0
3 10 4
3 11 3
3 12 4
3 13 0
3 14 0
3 15 2
3 16 2
3 17 5
3 18 4
3 19 3
3 20 2
3 21 4
3 22 5
3 23 5
3 24 0
3 25 3
3 26 1
3 27 2
3 28 0
3 29 1
3 30 1
3 31 0
3 32 4
3 33 0
4 0 3
4 1 2
4 2 1
4 3 0
4 4 2
4 5 4
4 6 2
4 7 3
4 8 4
4 9 1
4 10 2
4 11 0
4 12 3
4 13 1
4 14 1
4 15 4
4 16 4
4 17 4
4 18 0
4 19 0
4 20 0
4 21 2
4 22 0
4 23 0
4 24 3
4 25 4
4 26 5
4 27 2
4 28 1
4 29 0
4 30 0
4 31 0
4 32 2
4 33 5
5 0 0
5 1 1
5 2 1
5 3 0
5 4 3
5 5 2
5 6 5
5 7 5
5 8 5
5 9 0
5 10 5
5 11 2
5 12 2
5 13 4
5 14 2
5 15 0
5 16 1
5 17 4
5 18 5
5 19 0
5 20 3
5 21 0
