34 generic
0 0 0
0 1 2
0 2 0
0 3 2
0 4 1
0 5 0
0 6 4
0 7 0
0 8 3
0 9 4
0 10 0
0 11 3
0 12 0
0 13 4
0 14 1
0 15 0
0 16 4
0 17 0
0 18 1
0 19 3
0 20 3
0 21 3
0 22 2
0 23 2
0 24 3
0 25 0
0 26 5
0 27 0
0 28 0
0 29 3
0 30 2
0 31 2
0 32 4
0 33 0
1 0 2
1 1 2
1 2 2
1 3 4
1 4 4
1 5 0
1 6 3
1 7 5
1 8 1
1 9 3
1 10 4
1 11 5
1 12 0
1 13 0
1 14 0
1 15 4
1 16 0
1 17 4
1 18 2
1 19 3
1 20 3
1 21 3
1 22 0
1 23 0
1 24 0
1 25 1
1 26 0
1 27 0
1 28 3
1 29 1
1 30 4
1 31 4
1 32 3
1 33 2
2 0 3
2 1 1
2 2 3
2 3 1
2 4 0
2 5 3
2 6 0
2 7 1
2 8 3
2 9 1
2 10 1
2 11 5
2 12 3
2 13 0
2 14 3
2 15 3
2 16 0
2 17 2
2 18 5
2 19 5
2 20 0
2 21 2
2 22 2
2 23 4
2 24 5
2 25 0
2 26 2
2 27 0
2 28 2
2 29 3
2 30 3
2 31 2
2 32 0
2 33 1
3 0 0
3 1 0
3 2 0
3 3 5
3 4 3
3 5 4
3 6 5
3 7 2
3 8 0
3 9 3
3 10 5
3 11 1
3 12 3
3 13 3
3 14 5
3 15 5
3 16 4
3 17 5
3 18 0
3 19 0
3 20 3
3 21 5
3 22 1
3 23 0
3 24 0
3 25 3
3 26 2
3 27 2
3 28 0
3 29 2
3 30 1
3 31 4
3 32 1
3 33 3
4 0 1
4 1 0
4 2 0
4 3 4
4 4 0
4 5 1
4 6 3
4 7 3
4 8 5
4 9 5
4 10 5
4 11 5
4 12 5
4 13 3
4 14 0
4 15 2
4 16 3
4 17 5
4 18 5
4 19 0
4 20 5
4 21 0
4 22 5
4 23 2
4 24 5
4 25 1
4 26 0
4 27 4
4 28 1
4 29 3
4 30 5
4 31 2
4 32 0
4 33 5
5 0 4
5 1 0
5 2 0
5 3 2
5 4 2
5 5 0
5 6 3
5 7 3
5 8 2
5 9 4
5 10 3
5 11 0
5 12 4
5 13 5
5 14 2
5 15 2
5 16 1
5 17 4
5 18 3
5 19 3
5 20 4
5 21 2
5 22 3
5 23 0
5 24 0
5 25 0
5 26 2
5 27 0
5 28 0
5 29 3
5 30 5
5 31 4
5 32 1
5 33 0
6 0 2
6 1 2
6 2 4
6 3 0
6 4 0
6 5 0
6 6 5
6 7 1
6 8 5
6 9 1
6 10 5
6 11 1
6 12 1
6 13 2
6 14 2
6 15 5
6 16 5
6 17 5
6 18 0
6 19 2
6 20 4
6 21 2
6 22 2
6 23 5
6 24 1
6 25 0
6 26 0
6 27 1
6 28 4
6 29 4
6 30 0
6 31 5
6 32 2
6 33 4
7 0 5
7 1 3
7 2 4
7 3 5
7 4 0
7 5 4
7 6 0
7 7 3
7 8 0
7 9 2
7 10 0
7 11 0
7 12 0
7 13 1
7 14 0
7 15 2
7 16 0
7 17 4
7 18 1
7 19 5
7 20 4
7 21 0
7 22 3
7 23 0
7 24 5
7 25 1
7 26 2
7 27 0
7 28 1
7 29 4
7 30 1
7 31 3
7 32 5
7 33 4
8 0 0
8 1 1
8 2 1
8 3 1
8 4 2
8 5 3
8 6 1
8 7 0
8 8 3
8 9 1
8 10 0
8 11 1
8 12 2
8 13 0
8 14 3
8 15 5
8 16 5
8 17 3
8 18 3
8 19 4
8 20 2
8 21 1
8 22 4
8 23 0
8 24 3
8 25 2
8 26 2
8 27 3
8 28 3
8 29 0
8 30 1
8 31 2
8 32 3
8 33 5
9 0 0
9 1 0
9 2 5
9 3 3
9 4 1
9 5 2
9 6 2
9 7 2
9 8 0
9 9 4
9 10 0
9 11 0
9 12 3
9 13 4
9 14 4
9 15 0
9 16 0
9 17 3
9 18 5
9 19 5
9 20 5
9 21 1
9 22 2
9 23 1
9 24 5
9 25 2
9 26 2
9 27 1
9 28 4
9 29 2
9 30 3
9 31 0
9 32 1
9 33 0
10 0 1
10 1 5
10 2 0
10 3 5
10 4 4
10 5 0
10 6 0
10 7 3
10 8 5
10 9 3
10 10 4
10 11 4
10 12 2
10 13 2
10 14 0
10 15 3
10 16 0
10 17 5
10 18 2
10 19 4
10 20 0
10 21 3
10 22 1
10 23 3
10 24 5
10 25 3
10 26 0
10 27 1
10 28 0
10 29 1
10 30 4
10 31 2
10 32 0
10 33 4
11 0 0
11 1 0
11 2 5
11 3 0
11 4 4
11 5 5
11 6 0
11 7 1
11 8 3
11 9 5
11 10 0
11 11 3
11 12 1
11 13 2
11 14 0
11 15 0
11 16 0
11 17 0
11 18 0
11 19 2
11 20 2
11 21 4
11 22 0
11 23 0
11 24 3
11 25 3
11 26 4
11 27 2
11 28 0
11 29 3
11 30 5
11 31 0
11 32 5
11 33 2
12 0 5
12 1 1
12 2 4
12 3 1
12 4 3
12 5 5
12 6 0
12 7 2
12 8 4
12 9 3
12 10 1
12 11 3
12 12 1
12 13 5
12 14 1
12 15 3
12 16 4
12 17 5
12 18 3
12 19 3
12 20 1
12 21 0
12 22 0
12 23 0
12 24 4
12 25 1
12 26 0
12 27 3
12 28 2
12 29 4
12 30 1
12 31 3
12 32 4
12 33 4
13 0 0
13 1 3
13 2 5
13 3 3
13 4 3
13 5 5
13 6 2
13 7 3
13 8 2
13 9 0
13 10 0
13 11 5
13 12 5
13 13 0
13 14 5
13 15 5
13 16 0
13 17 0
13 18 2
13 19 3
13 20 3
13 21 0
13 22 3
13 23 3
13 24 1
13 25 2
13 26 0
13 27 3
13 28 1
13 29 4
13 30 1
13 31 0
13 32 2
13 33 1
14 0 5
14 1 0
14 2 5
14 3 5
14 4 3
14 5 4
14 6 2
14 7 5
14 8 0
14 9 5
14 10 4
14 11 1
14 12 4
14 13 2
14 14 3
14 15 1
14 16 3
14 17 0
14 18 0
14 19 1
14 20 1
14 21 1
14 22 2
14 23 0
14 24 1
14 25 5
14 26 3
14 27 0
14 28 3
14 29 5
14 30 2
14 31 0
14 32 4
14 33 3
15 0 4
15 1 5
15 2 2
15 3 1
15 4 0
15 5 0
15 6 4
15 7 5
15 8 0
15 9 5
15 10 1
15 11 0
15 12 3
15 13 4
15 14 5
15 15 2
15 16 5
15 17 0
15 18 3
15 19 3
15 20 0
15 21 4
15 22 3
15 23 0
15 24 2
15 25 5
15 26 1
15 27 1
15 28 3
15 29 3
15 30 3
15 31 2
15 32 1
15 33 4
16 0 1
16 1 1
16 2 3
16 3 0
16 4 4
16 5 1
16 6 0
16 7 3
16 8 2
16 9 2
16 10 0
16 11 0
16 12 4
16 13 1
16 14 4
16 15 1
16 16 0
16 17 0
16 18 2
16 19 5
16 20 3
16 21 2
16 22 0
16 23 2
16 24 3
16 25 5
16 26 3
16 27 0
16 28 2
16 29 0
16 30 1
16 31 3
16 32 4
16 33 1
17 0 4
17 1 1
17 2 1
17 3 1
17 4 5
17 5 3
17 6 4
17 7 4
17 8 0
17 9 4
17 10 0
17 11 5
17 12 4
17 13 1
17 14 2
17 15 1
17 16 0
17 17 1
17 18 3
17 19 0
17 20 3
17 21 2
17 22 3
17 23 2
17 24 5
17 25 1
17 26 4
17 27 1
17 28 1
17 29 0
17 30 3
17 31 5
17 32 0
17 33 2
18 0 2
18 1 2
18 2 3
18 3 3
18 4 0
18 5 2
18 6 5
18 7 2
18 8 3
18 9 5
18 10 3
18 11 0
18 12 0
18 13 4
18 14 5
18 15 1
18 16 2
18 17 5
18 18 1
18 19 3
18 20 0
18 21 4
18 22 4
18 23 0
18 24 0
18 25 3
18 26 5
18 27 0
18 28 3
18 29 3
18 30 0
18 31 1
18 32 2
18 33 4
19 0 3
19 1 1
19 2 1
19 3 5
19 4 3
19 5 3
19 6 4
19 7 0
19 8 4
19 9 2
19 10 0
19 11 5
19 12 2
19 13 5
19 14 0
19 15 1
19 16 4
19 17 4
19 18 5
19 19 0
19 20 5
19 21 5
19 22 0
19 23 2
19 24 2
19 25 2
19 26 1
19 27 2
19 28 0
19 29 5
19 30 4
19 31 3
19 32 0
19 33 5
20 0 4
20 1 5
20 2 3
20 3 0
20 4 0
20 5 0
20 6 0
20 7 3
20 8 2
20 9 0
20 10 4
20 11 2
20 12 0
20 13 4
20 14 0
20 15 5
20 16 4
20 17 2
20 18 0
20 19 0
20 20 5
20 21 2
20 22 3
20 23 0
20 24 0
20 25 4
20 26 4
20 27 4
20 28 0
20 29 4
20 30 0
20 31 0
20 32 0
20 33 0
21 0 2
21 1 3
21 2 1
21 3 2
21 4 4
21 5 5
21 6 3
21 7 3
21 8 5
21 9 0
21 10 2
21 11 0
21 12 3
21 13 2
21 14 0
21 15 1
21 16 3
21 17 4
21 18 0
21 19 0
21 20 1
21 21 5
21 22 5
21 23 2
21 24 5
21 25 2
21 26 4
21 27 0
21 28 0
21 29 3
21 30 2
21 31 1
21 32 0
