36 generic
0 0 2
0 1 2
0 2 0
0 3 3
0 4 0
0 5 0
0 6 0
0 7 0
0 8 3
0 9 2
0 10 0
0 11 0
0 12 0
0 13 0
0 14 0
0 15 0
0 16 0
0 17 4
0 18 3
0 19 0
0 20 5
0 21 5
0 22 3
0 23 0
0 24 0
0 25 0
0 26 4
0 27 2
0 28 0
0 29 0
0 30 3
0 31 4
0 32 0
0 33 3
0 34 4
0 35 0
1 0 0
1 1 1
1 2 3
1 3 1
1 4 0
1 5 0
1 6 0
1 7 0
1 8 0
1 9 0
1 10 0
1 11 5
1 12 0
1 13 3
1 14 4
1 15 0
1 16 3
1 17 0
1 18 0
1 19 3
1 20 0
1 21 0
1 22 1
1 23 0
1 24 0
1 25 0
1 26 0
1 27 0
1 28 3
1 29 3
1 30 0
1 31 0
1 32 0
1 33 0
1 34 0
1 35 3
2 0 0
2 1 2
2 2 0
2 3 0
2 4 3
2 5 1
2 6 0
2 7 0
2 8 0
2 9 1
2 10 0
2 11 2
2 12 0
2 13 2
2 14 0
2 15 5
2 16 5
2 17 0
2 18 5
2 19 0
2 20 0
2 21 0
2 22 3
2 23 0
2 24 4
2 25 0
2 26 0
2 27 4
2 28 0
2 29 0
2 30 0
2 31 0
2 32 5
2 33 5
2 34 0
2 35 0
3 0 0
3 1 0
3 2 5
3 3 3
3 4 0
3 5 0
3 6 0
3 7 5
3 8 0
3 9 2
3 10 0
3 11 3
3 12 4
3 13 0
3 14 4
3 15 5
3 16 3
3 17 4
3 18 5
3 19 2
3 20 0
3 21 0
3 22 4
3 23 4
3 24 1
3 25 0
3 26 2
3 27 0
3 28 0
3 29 0
3 30 0
3 31 3
3 32 1
3 33 4
3 34 0
3 35 0
4 0 0
4 1 0
4 2 0
4 3 4
4 4 5
4 5 0
4 6 0
4 7 0
4 8 5
4 9 0
4 10 0
4 11 0
4 12 4
4 13 4
4 14 0
4 15 3
4 16 1
4 17 5
4 18 5
4 19 0
4 20 2
4 21 4
4 22 2
4 23 1
4 24 0
4 25 0
4 26 0
4 27 2
4 28 4
4 29 2
4 30 4
4 31 0
4 32 0
4 33 0
4 34 3
4 35 0
5 0 0
5 1 0
5 2 0
5 3 0
5 4 0
5 5 0
5 6 0
5 7 0
5 8 0
5 9 0
5 10 3
5 11 3
5 12 4
5 13 5
5 14 1
5 15 0
5 16 2
5 17 0
5 18 4
5 19 0
5 20 5
5 21 2
5 22 0
5 23 0
5 24 3
5 25 0
5 26 0
5 27 1
5 28 3
5 29 4
5 30 0
5 31 1
5 32 5
5 33 1
5 34 2
5 35 5
6 0 0
6 1 0
6 2 3
6 3 5
6 4 0
6 5 0
6 6 4
6 7 0
6 8 4
6 9 2
6 10 3
6 11 3
6 12 0
6 13 0
6 14 2
6 15 1
6 16 3
6 17 0
6 18 1
6 19 5
6 20 0
6 21 0
6 22 5
6 23 0
6 24 2
6 25 0
6 26 4
6 27 5
6 28 2
6 29 0
6 30 2
6 31 0
6 32 3
6 33 1
6 34 2
6 35 1
7 0 0
7 1 2
7 2 0
7 3 0
7 4 5
7 5 0
7 6 0
7 7 2
7 8 2
7 9 2
7 10 0
7 11 0
7 12 0
7 13 0
7 14 0
7 15 3
7 16 5
7 17 5
7 18 0
7 19 4
7 20 0
7 21 4
7 22 0
7 23 4
7 24 0
7 25 0
7 26 0
7 27 0
7 28 0
7 29 3
7 30 0
7 31 5
7 32 3
7 33 4
7 34 1
7 35 0
8 0 5
8 1 0
8 2 1
8 3 3
8 4 0
8 5 0
8 6 0
8 7 4
8 8 4
8 9 4
8 10 0
8 11 4
8 12 0
8 13 1
8 14 0
8 15 0
8 16 0
8 17 3
8 18 4
8 19 3
8 20 5
8 21 0
8 22 2
8 23 0
8 24 0
8 25 2
8 26 0
8 27 0
8 28 2
8 29 0
8 30 5
8 31 0
8 32 0
8 33 0
8 34 0
8 35 0
9 0 2
9 1 0
9 2 4
9 3 5
9 4 4
9 5 0
9 6 5
9 7 3
9 8 0
9 9 0
9 10 0
9 11 3
9 12 0
9 13 0
9 14 3
9 15 0
9 16 0
9 17 1
9 18 0
9 19 2
9 20 0
9 21 5
9 22 0
9 23 4
9 24 5
9 25 0
9 26 3
9 27 0
9 28 0
9 29 0
9 30 3
9 31 3
9 32 0
9 33 0
9 34 4
9 35 3
10 0 0
10 1 3
10 2 3
10 3 0
10 4 4
10 5 0
10 6 4
10 7 0
10 8 0
10 9 0
10 10 0
10 11 1
10 12 1
10 13 2
10 14 0
10 15 3
10 16 5
10 17 4
10 18 4
10 19 0
10 20 4
10 21 0
10 22 0
10 23 0
10 24 1
10 25 3
10 26 0
10 27 4
10 28 5
10 29 2
10 30 0
10 31 0
10 32 2
10 33 5
10 34 5
10 35 1
11 0 1
11 1 0
11 2 0
11 3 2
11 4 2
11 5 0
11 6 4
11 7 3
11 8 0
11 9 4
11 10 1
11 11 1
11 12 0
11 13 1
11 14 3
11 15 0
11 16 2
11 17 3
11 18 3
11 19 5
11 20 0
11 21 0
11 22 1
11 23 0
11 24 1
11 25 0
11 26 0
11 27 0
11 28 0
11 29 0
11 30 0
11 31 0
11 32 4
11 33 0
11 34 2
11 35 2
12 0 0
12 1 0
12 2 2
12 3 5
12 4 2
12 5 0
12 6 0
12 7 1
12 8 0
12 9 2
12 10 4
12 11 2
12 12 5
12 13 0
12 14 0
12 15 3
12 16 3
12 17 4
12 18 1
12 19 0
12 20 3
12 21 5
12 22 3
12 23 2
12 24 0
12 25 2
12 26 0
12 27 0
12 28 0
12 29 0
12 30 2
12 31 0
12 32 0
12 33 0
12 34 1
12 35 0
13 0 3
13 1 4
13 2 0
13 3 0
13 4 0
13 5 0
13 6 0
13 7 0
13 8 2
13 9 0
13 10 0
13 11 0
13 12 0
13 13 0
13 14 0
13 15 0
13 16 0
13 17 0
13 18 0
13 19 5
13 20 1
13 21 0
13 22 0
13 23 0
13 24 0
13 25 1
13 26 4
13 27 0
13 28 0
13 29 5
13 30 0
13 31 0
13 32 0
13 33 3
13 34 0
13 35 3
14 0 2
14 1 0
14 2 3
14 3 0
14 4 1
14 5 0
14 6 1
14 7 4
14 8 0
14 9 5
14 10 0
14 11 3
14 12 0
14 13 2
14 14 0
14 15 3
14 16 0
14 17 0
14 18 5
14 19 2
14 20 0
14 21 0
14 22 4
14 23 1
14 24 0
14 25 0
14 26 0
14 27 0
14 28 0
14 29 0
14 30 0
14 31 0
14 32 3
14 33 5
14 34 2
14 35 3
15 0 3
15 1 4
15 2 0
15 3 5
15 4 0
15 5 2
15 6 5
15 7 3
15 8 3
15 9 0
15 10 0
15 11 1
15 12 0
15 13 0
15 14 0
15 15 0
15 16 2
15 17 0
15 18 3
15 19 4
15 20 0
15 21 5
15 22 2
15 23 4
15 24 0
15 25 0
15 26 0
15 27 0
15 28 2
15 29 2
15 30 4
15 31 0
15 32 2
15 33 4
15 34 0
15 35 0
16 0 0
16 1 0
16 2 3
16 3 3
16 4 0
16 5 1
16 6 4
16 7 5
16 8 1
16 9 0
16 10 3
16 11 2
16 12 0
16 13 3
16 14 1
16 15 0
16 16 2
16 17 1
16 18 4
16 19 5
16 20 0
16 21 3
16 22 5
16 23 2
16 24 0
16 25 0
16 26 3
16 27 0
16 28 0
16 29 2
16 30 5
16 31 0
16 32 4
16 33 0
16 34 0
16 35 1
17 0 1
17 1 5
17 2 0
17 3 5
17 4 0
17 5 4
17 6 5
17 7 5
17 8 3
17 9 4
17 10 0
17 11 0
17 12 3
17 13 0
17 14 0
17 15 2
17 16 0
17 17 0
17 18 4
17 19 3
17 20 0
17 21 3
17 22 0
17 23 0
17 24 0
17 25 0
17 26 4
17 27 0
17 28 1
17 29 3
17 30 2
17 31 1
17 32 0
17 33 0
17 34 4
17 35 0
18 0 3
18 1 2
18 2 1
18 3 1
18 4 0
18 5 5
18 6 0
18 7 5
18 8 0
18 9 0
18 10 5
18 11 3
18 12 0
18 13 0
18 14 0
18 15 0
18 16 4
18 17 4
18 18 0
18 19 4
18 20 0
18 21 1
18 22 0
18 23 1
18 24 0
18 25 2
18 26 0
18 27 2
18 28 0
18 29 0
18 30 3
18 31 3
18 32 1
18 33 0
