36 generic
0 0 0
0 1 5
0 2 0
0 3 2
0 4 1
0 5 5
0 6 5
0 7 3
0 8 2
0 9 2
0 10 5
0 11 4
0 12 3
0 13 3
0 14 1
0 15 1
0 16 5
0 17 0
0 18 1
0 19 3
0 20 0
0 21 5
0 22 0
0 23 1
0 24 0
0 25 4
0 26 3
0 27 3
0 28 0
0 29 0
0 30 5
0 31 3
0 32 0
0 33 0
0 34 2
0 35 0
1 0 4
1 1 4
1 2 4
1 3 2
1 4 2
1 5 0
1 6 5
1 7 2
1 8 0
1 9 4
1 10 1
1 11 4
1 12 0
1 13 2
1 14 2
1 15 0
1 16 1
1 17 1
1 18 3
1 19 0
1 20 3
1 21 2
1 22 3
1 23 1
1 24 1
1 25 5
1 26 0
1 27 4
1 28 5
1 29 1
1 30 0
1 31 2
1 32 1
1 33 2
1 34 4
1 35 1
2 0 0
2 1 0
2 2 4
2 3 2
2 4 1
2 5 0
2 6 3
2 7 0
2 8 4
2 9 4
2 10 5
2 11 2
2 12 1
2 13 2
2 14 0
2 15 5
2 16 2
2 17 0
2 18 0
2 19 4
2 20 4
2 21 3
2 22 0
2 23 1
2 24 0
2 25 0
2 26 4
2 27 1
2 28 5
2 29 5
2 30 0
2 31 2
2 32 5
2 33 1
2 34 3
2 35 1
3 0 5
3 1 1
3 2 5
3 3 4
3 4 1
3 5 4
3 6 4
3 7 0
3 8 2
3 9 4
3 10 0
3 11 1
3 12 0
3 13 2
3 14 4
3 15 1
3 16 3
3 17 3
3 18 2
3 19 5
3 20 1
3 21 0
3 22 5
3 23 4
3 24 5
3 25 2
3 26 4
3 27 0
3 28 0
3 29 0
3 30 5
3 31 5
3 32 5
3 33 4
3 34 3
3 35 4
4 0 5
4 1 5
4 2 1
4 3 0
4 4 0
4 5 4
4 6 0
4 7 1
4 8 0
4 9 0
4 10 1
4 11 2
4 12 1
4 13 0
4 14 1
4 15 0
4 16 0
4 17 5
4 18 3
4 19 2
4 20 0
4 21 1
4 22 1
4 23 1
4 24 1
4 25 5
4 26 1
4 27 1
4 28 1
4 29 4
4 30 2
4 31 3
4 32 3
4 33 3
4 34 3
4 35 5
5 0 0
5 1 5
5 2 3
5 3 1
5 4 2
5 5 4
5 6 1
5 7 0
5 8 0
5 9 0
5 10 3
5 11 5
5 12 3
5 13 0
5 14 0
5 15 2
5 16 5
5 17 5
5 18 0
5 19 0
5 20 2
5 21 0
5 22 3
5 23 3
5 24 2
5 25 0
5 26 3
5 27 5
5 28 2
5 29 0
5 30 1
5 31 2
5 32 2
5 33 5
5 34 5
5 35 3
6 0 3
6 1 2
6 2 0
6 3 2
6 4 4
6 5 2
6 6 5
6 7 4
6 8 4
6 9 0
6 10 4
6 11 0
6 12 2
6 13 3
6 14 2
6 15 4
6 16 1
6 17 0
6 18 1
6 19 4
6 20 3
6 21 3
6 22 4
6 23 3
6 24 0
6 25 5
6 26 4
6 27 4
6 28 0
6 29 3
6 30 5
6 31 0
6 32 0
6 33 4
6 34 0
6 35 2
7 0 2
7 1 3
7 2 5
7 3 3
7 4 1
7 5 2
7 6 3
7 7 3
7 8 5
7 9 0
7 10 5
7 11 4
7 12 1
7 13 0
7 14 5
7 15 4
7 16 3
7 17 3
7 18 1
7 19 4
7 20 4
7 21 0
7 22 1
7 23 3
7 24 5
7 25 5
7 26 3
7 27 0
7 28 0
7 29 0
7 30 4
7 31 4
7 32 5
7 33 4
7 34 0
7 35 4
8 0 1
8 1 1
8 2 1
8 3 1
8 4 5
8 5 1
8 6 5
8 7 2
8 8 5
8 9 3
8 10 2
8 11 5
8 12 1
8 13 4
8 14 4
8 15 2
8 16 4
8 17 1
8 18 2
8 19 0
8 20 0
8 21 3
8 22 5
8 23 2
8 24 0
8 25 1
8 26 5
8 27 1
8 28 0
8 29 3
8 30 2
8 31 0
8 32 1
8 33 2
8 34 5
8 35 2
9 0 4
9 1 5
9 2 0
9 3 2
9 4 5
9 5 4
9 6 1
9 7 1
9 8 0
9 9 0
9 10 2
9 11 1
9 12 4
9 13 5
9 14 3
9 15 3
9 16 3
9 17 3
9 18 1
9 19 5
9 20 0
9 21 1
9 22 1
9 23 0
9 24 5
9 25 0
9 26 1
9 27 4
9 28 2
9 29 5
9 30 5
9 31 1
9 32 0
9 33 2
9 34 0
9 35 4
10 0 0
10 1 2
10 2 2
10 3 1
10 4 5
10 5 2
10 6 3
10 7 2
10 8 0
10 9 0
10 10 2
10 11 1
10 12 2
10 13 3
10 14 4
10 15 1
10 16 5
10 17 3
10 18 4
10 19 4
10 20 5
10 21 0
10 22 1
10 23 0
10 24 4
10 25 3
10 26 3
10 27 4
10 28 3
10 29 5
10 30 0
10 31 3
10 32 0
10 33 1
10 34 2
10 35 4
11 0 3
11 1 3
11 2 0
11 3 0
11 4 2
11 5 1
11 6 0
11 7 4
11 8 1
11 9 0
11 10 4
11 11 4
11 12 2
11 13 2
11 14 0
11 15 4
11 16 0
11 17 3
11 18 2
11 19 0
11 20 1
11 21 3
11 22 3
11 23 5
11 24 2
11 25 0
11 26 4
11 27 2
11 28 1
11 29 3
11 30 5
11 31 5
11 32 5
11 33 0
11 34 3
11 35 4
12 0 5
12 1 0
12 2 4
12 3 2
12 4 4
12 5 4
12 6 1
12 7 0
12 8 2
12 9 0
12 10 1
12 11 4
12 12 0
12 13 1
12 14 4
12 15 3
12 16 2
12 17 4
12 18 0
12 19 3
12 20 5
12 21 1
12 22 0
12 23 4
12 24 2
12 25 3
12 26 2
12 27 0
12 28 0
12 29 0
12 30 3
12 31 3
12 32 0
12 33 1
12 34 5
12 35 0
13 0 5
13 1 2
13 2 0
13 3 3
13 4 4
13 5 0
13 6 4
13 7 5
13 8 2
13 9 2
13 10 5
13 11 0
13 12 0
13 13 5
13 14 4
13 15 0
13 16 5
13 17 4
13 18 1
13 19 0
13 20 3
13 21 0
13 22 3
13 23 1
13 24 5
13 25 3
13 26 0
13 27 3
13 28 0
13 29 4
13 30 4
13 31 3
13 32 2
13 33 0
13 34 1
13 35 5
14 0 0
14 1 5
14 2 0
14 3 0
14 4 3
14 5 3
14 6 4
14 7 1
14 8 4
14 9 0
14 10 3
14 11 3
14 12 0
14 13 1
14 14 0
14 15 0
14 16 3
14 17 5
14 18 0
14 19 3
14 20 0
14 21 0
14 22 5
14 23 1
14 24 0
14 25 0
14 26 3
14 27 5
14 28 0
14 29 0
14 30 0
14 31 2
14 32 0
14 33 2
14 34 5
14 35 1
15 0 1
15 1 0
15 2 0
15 3 5
15 4 3
15 5 3
15 6 0
15 7 0
15 8 3
15 9 5
15 10 3
15 11 4
15 12 5
15 13 2
15 14 3
15 15 3
15 16 0
15 17 5
15 18 2
15 19 3
15 20 4
15 21 0
15 22 1
15 23 1
15 24 5
15 25 1
15 26 0
15 27 3
15 28 4
15 29 5
15 30 4
15 31 0
15 32 1
15 33 5
15 34 1
15 35 0
16 0 5
16 1 5
16 2 2
16 3 2
16 4 3
16 5 0
16 6 0
16 7 2
16 8 5
16 9 4
16 10 0
16 11 5
16 12 5
16 13 4
16 14 3
16 15 3
16 16 3
16 17 4
16 18 4
16 19 4
16 20 5
16 21 4
16 22 4
16 23 4
16 24 3
16 25 4
16 26 3
16 27 4
16 28 4
16 29 1
16 30 4
16 31 1
16 32 2
16 33 3
16 34 4
16 35 2
17 0 3
17 1 2
17 2 3
17 3 3
17 4 4
17 5 3
17 6 0
17 7 4
17 8 3
17 9 4
17 10 5
17 11 0
17 12 0
17 13 3
17 14 4
17 15 3
17 16 2
17 17 0
17 18 2
17 19 0
17 20 0
17 21 0
17 22 0
17 23 5
17 24 4
17 25 1
17 26 0
17 27 0
17 28 0
17 29 0
17 30 3
17 31 5
17 32 3
17 33 0
17 34 2
17 35 3
18 0 5
18 1 2
18 2 2
18 3 1
18 4 0
18 5 2
18 6 4
18 7 2
18 8 0
18 9 0
18 10 5
18 11 5
18 12 5
18 13 2
18 14 0
18 15 5
18 16 1
18 17 1
18 18 3
18 19 3
18 20 0
18 21 0
18 22 3
18 23 2
18 24 4
18 25 0
18 26 5
18 27 5
18 28 2
18 29 3
18 30 2
18 31 0
18 32 4
18 33 4
18 34 0
18 35 0
19 0 2
19 1 5
19 2 1
19 3 1
19 4 1
19 5 2
19 6 2
19 7 0
19 8 1
19 9 1
19 10 0
19 11 5
19 12 1
19 13 3
19 14 4
19 15 1
19 16 1
19 17 4
19 18 2
19 19 4
19 20 1
19 21 1
19 22 5
19 23 2
19 24 0
19 25 0
19 26 1
19 27 2
19 28 0
19 29 3
19 30 1
19 31 0
19 32 0
19 33 1
19 34 5
19 35 4
20 0 0
20 1 2
20 2 5
20 3 4
20 4 3
20 5 0
20 6 4
20 7 1
20 8 3
20 9 2
20 10 0
20 11 1
20 12 5
20 13 1
20 14 1
20 15 4
20 16 0
20 17 5
20 18 0
20 19 0
20 20 1
20 21 5
20 22 0
20 23 1
20 24 4
20 25 2
20 26 2
20 27 0
20 28 3
20 29 4
20 30 1
20 31 0
20 32 4
20 33 0
20 34 2
20 35 5
21 0 0
21 1 2
21 2 3
21 3 4
21 4 0
21 5 1
21 6 1
21 7 0
21 8 4
21 9 5
21 10 0
21 11 3
21 12 4
21 13 1
21 14 3
21 15 1
21 16 0
