34 generic
0 0 0
0 1 1
0 2 5
0 3 3
0 4 0
0 5 0
0 6 1
0 7 0
0 8 0
0 9 2
0 10 4
0 11 0
0 12 3
0 13 5
0 14 0
0 15 2
0 16 0
0 17 5
0 18 2
0 19 1
0 20 0
0 21 0
0 22 2
0 23 4
0 24 0
0 25 0
0 26 0
0 27 0
0 28 0
0 29 1
0 30 0
0 31 4
0 32 0
0 33 4
1 0 0
1 1 0
1 2 0
1 3 0
1 4 0
1 5 0
1 6 0
1 7 1
1 8 1
1 9 4
1 10 0
1 11 5
1 12 4
1 13 5
1 14 4
1 15 1
1 16 0
1 17 0
1 18 5
1 19 2
1 20 4
1 21 5
1 22 2
1 23 0
1 24 0
1 25 0
1 26 5
1 27 0
1 28 0
1 29 0
1 30 0
1 31 0
1 32 2
1 33 0
2 0 4
2 1 3
2 2 0
2 3 4
2 4 0
2 5 0
2 6 5
2 7 0
2 8 4
2 9 2
2 10 3
2 11 1
2 12 0
2 13 3
2 14 0
2 15 0
2 16 0
2 17 5
2 18 0
2 19 0
2 20 0
2 21 3
2 22 0
2 23 2
2 24 1
2 25 5
2 26 2
2 27 2
2 28 5
2 29 0
2 30 0
2 31 1
2 32 0
2 33 3
3 0 0
3 1 0
3 2 4
3 3 0
3 4 0
3 5 0
3 6 4
3 7 0
3 8 2
3 9 0
3 10 5
3 11 4
3 12 0
3 13 5
3 14 0
3 15 2
3 16 2
3 17 2
3 18 0
3 19 0
3 20 0
3 21 4
3 22 1
3 23 3
3 24 4
3 25 0
3 26 1
3 27 0
3 28 0
3 29 5
3 30 0
3 31 3
3 32 0
3 33 0
4 0 4
4 1 1
4 2 0
4 3 0
4 4 0
4 5 4
4 6 0
4 7 5
4 8 0
4 9 0
4 10 0
4 11 2
4 12 0
4 13 4
4 14 0
4 15 5
4 16 3
4 17 1
4 18 0
4 19 5
4 20 0
4 21 3
4 22 0
4 23 0
4 24 0
4 25 2
4 26 0
4 27 1
4 28 1
4 29 0
4 30 0
4 31 3
4 32 5
4 33 2
5 0 1
5 1 0
5 2 3
5 3 0
5 4 1
5 5 0
5 6 0
5 7 0
5 8 0
5 9 0
5 10 3
5 11 0
5 12 0
5 13 2
5 14 0
5 15 3
