36 generic
0 0 2
0 1 1
0 2 1
0 3 5
0 4 1
0 5 0
0 6 0
0 7 5
0 8 2
0 9 4
0 10 2
0 11 3
0 12 3
0 13 3
0 14 4
0 15 4
0 16 5
0 17 0
0 18 1
0 19 5
0 20 5
0 21 3
0 22 0
0 23 2
0 24 3
0 25 5
0 26 3
0 27 0
0 28 2
0 29 0
0 30 4
0 31 5
0 32 1
0 33 3
0 34 4
0 35 3
1 0 5
1 1 0
1 2 3
1 3 0
1 4 2
1 5 3
1 6 0
1 7 4
1 8 4
1 9 3
1 10 0
1 11 0
1 12 1
1 13 0
1 14 5
1 15 0
1 16 2
1 17 2
1 18 0
1 19 2
1 20 5
1 21 3
1 22 0
1 23 5
1 24 2
1 25 4
1 26 0
1 27 4
1 28 0
1 29 0
1 30 1
1 31 0
1 32 5
1 33 4
1 34 3
1 35 4
2 0 5
2 1 3
2 2 5
2 3 5
2 4 2
2 5 1
2 6 5
2 7 1
2 8 4
2 9 5
2 10 2
2 11 4
2 12 0
2 13 2
2 14 4
2 15 3
2 16 4
2 17 5
2 18 0
2 19 2
2 20 5
2 21 5
2 22 2
2 23 2
2 24 2
2 25 0
2 26 2
2 27 1
2 28 2
2 29 0
2 30 5
2 31 3
2 32 2
2 33 3
2 34 0
2 35 5
3 0 2
3 1 0
3 2 4
3 3 3
3 4 3
3 5 0
3 6 0
3 7 5
3 8 3
3 9 3
3 10 2
3 11 1
3 12 1
3 13 0
3 14 4
3 15 4
3 16 5
3 17 0
3 18 3
3 19 5
3 20 2
3 21 3
3 22 5
3 23 1
3 24 4
3 25 5
3 26 5
3 27 0
3 28 2
3 29 0
3 30 2
3 31 2
3 32 4
3 33 5
3 34 1
3 35 1
4 0 5
4 1 4
4 2 0
4 3 0
4 4 0
4 5 0
4 6 0
4 7 3
4 8 3
4 9 1
4 10 3
4 11 1
4 12 0
4 13 0
4 14 5
4 15 0
4 16 2
4 17 2
4 18 0
4 19 3
4 20 2
4 21 2
4 22 5
4 23 0
4 24 5
4 25 4
4 26 0
4 27 1
4 28 3
4 29 5
4 30 1
4 31 5
4 32 1
4 33 5
4 34 4
4 35 5
5 0 1
5 1 0
5 2 0
5 3 2
5 4 5
5 5 4
5 6 0
5 7 1
5 8 1
5 9 2
5 10 3
5 11 4
5 12 3
5 13 3
5 14 2
5 15 0
5 16 2
5 17 1
5 18 2
5 19 3
5 20 1
5 21 2
5 22 3
5 23 0
5 24 1
5 25 5
5 26 4
5 27 5
5 28 1
5 29 3
5 30 5
5 31 1
5 32 2
5 33 4
5 34 5
5 35 5
6 0 2
6 1 0
6 2 0
6 3 3
6 4 2
6 5 0
6 6 0
6 7 2
6 8 5
6 9 1
6 10 3
6 11 5
6 12 1
6 13 4
6 14 3
6 15 0
6 16 5
6 17 0
6 18 1
6 19 3
6 20 4
6 21 0
6 22 0
6 23 1
6 24 3
6 25 0
6 26 2
6 27 2
6 28 4
6 29 2
6 30 5
6 31 1
6 32 1
6 33 2
6 34 3
6 35 4
7 0 0
7 1 5
7 2 3
7 3 2
7 4 2
7 5 1
7 6 0
7 7 0
7 8 4
