34 binary
0 0 1
0 1 0
0 2 1
0 3 0
0 4 0
0 5 1
0 6 0
0 7 0
0 8 0
0 9 0
0 10 0
0 11 0
0 12 0
0 13 1
0 14 0
0 15 1
0 16 1
0 17 0
0 18 0
0 19 0
0 20 1
0 21 1
0 22 0
0 23 1
0 24 0
0 25 0
0 26 0
0 27 1
0 28 1
0 29 1
0 30 1
0 31 1
0 32 0
0 33 1
1 0 1
1 1 1
1 2 0
1 3 0
1 4 1
1 5 1
1 6 1
1 7 1
1 8 0
1 9 1
1 10 1
1 11 0
1 12 0
1 13 1
1 14 1
1 15 0
1 16 1
1 17 0
1 18 1
1 19 0
1 20 1
1 21 1
1 22 1
1 23 1
1 24 1
1 25 0
1 26 1
1 27 0
1 28 1
1 29 0
1 30 1
1 31 1
1 32 0
1 33 1
2 0 0
2 1 0
2 2 0
2 3 1
2 4 1
2 5 0
2 6 1
2 7 1
2 8 0
2 9 1
2 10 0
2 11 1
2 12 1
2 13 0
2 14 0
2 15 0
2 16 1
2 17 1
2 18 0
2 19 0
2 20 0
2 21 0
2 22 0
2 23 1
2 24 1
2 25 1
2 26 0
2 27 0
2 28 0
2 29 1
2 30 0
2 31 0
2 32 1
2 33 0
3 0 1
3 1 1
3 2 1
3 3 0
3 4 0
3 5 1
3 6 1
3 7 1
3 8 1
3 9 1
3 10 0
3 11 1
3 12 1
3 13 1
3 14 1
3 15 1
3 16 1
3 17 0
3 18 0
3 19 1
3 20 0
3 21 1
3 22 0
3 23 1
3 24 0
3 25 0
3 26 1
3 27 1
3 28 1
3 29 0
3 30 0
3 31 1
3 32 1
3 33 0
4 0 1
4 1 0
4 2 0
4 3 0
4 4 0
4 5 1
4 6 0
4 7 1
4 8 0
4 9 1
4 10 0
4 11 0
4 12 0
4 13 1
4 14 0
4 15 0
4 16 1
4 17 1
4 18 0
4 19 0
4 20 1
4 21 0
4 22 1
4 23 0
4 24 1
4 25 1
4 26 0
4 27 1
4 28 0
4 29 0
4 30 0
4 31 0
4 32 0
4 33 0
5 0 0
5 1 1
5 2 0
5 3 1
5 4 0
5 5 1
5 6 0
5 7 0
5 8 0
5 9 0
5 10 0
5 11 1
5 12 0
5 13 1
5 14 1
5 15 0
5 16 0
5 17 0
5 18 0
5 19 0
5 20 1
5 21 1
5 22 0
5 23 0
5 24 0
5 25 0
5 26 1
5 27 0
5 28 1
5 29 1
5 30 1
5 31 1
5 32 1
5 33 0
6 0 0
6 1 1
6 2 1
6 3 0
6 4 0
6 5 0
6 6 1
6 7 0
6 8 0
6 9 0
6 10 0
6 11 1
6 12 0
6 13 1
6 14 0
6 15 0
6 16 0
6 17 1
6 18 0
6 19 1
6 20 1
6 21 0
6 22 0
6 23 1
6 24 0
6 25 1
6 26 0
6 27 0
6 28 0
6 29 1
6 30 0
6 31 0
6 32 0
6 33 1
7 0 1
7 1 1
7 2 0
7 3 1
7 4 0
7 5 0
7 6 0
7 7 1
7 8 0
7 9 0
7 10 1
7 11 1
7 12 1
7 13 0
7 14 0
7 15 1
7 16 0
7 17 0
7 18 1
7 19 1
7 20 0
7 21 0
7 22 0
7 23 1
7 24 1
7 25 1
7 26 1
7 27 0
7 28 0
7 29 1
7 30 0
7 31 0
7 32 1
7 33 0
8 0 1
8 1 0
8 2 1
8 3 1
8 4 1
8 5 1
8 6 0
8 7 1
8 8 0
8 9 0
8 10 0
8 11 1
8 12 1
8 13 1
8 14 0
8 15 1
8 16 0
8 17 1
8 18 0
8 19 0
8 20 1
8 21 0
8 22 0
8 23 0
8 24 0
8 25 1
8 26 1
8 27 0
8 28 1
8 29 0
8 30 1
8 31 0
8 32 1
8 33 0
9 0 1
9 1 1
9 2 1
9 3 0
9 4 1
9 5 0
9 6 1
9 7 0
9 8 0
9 9 1
9 10 1
9 11 1
9 12 1
9 13 1
9 14 1
9 15 0
9 16 1
9 17 0
9 18 1
9 19 0
9 20 0
9 21 1
9 22 1
9 23 1
9 24 1
9 25 1
9 26 1
9 27 0
9 28 0
9 29 1
9 30 1
9 31 1
9 32 1
9 33 0
10 0 0
10 1 1
10 2 0
10 3 1
10 4 1
10 5 0
10 6 0
10 7 0
10 8 1
10 9 1
10 10 0
10 11 0
10 12 1
10 13 0
10 14 0
10 15 1
10 16 1
10 17 0
10 18 1
10 19 0
10 20 1
10 21 1
10 22 0
10 23 0
10 24 0
10 25 0
10 26 0
10 27 1
10 28 0
10 29 0
10 30 0
10 31 1
10 32 0
10 33 1
11 0 1
11 1 0
11 2 0
11 3 1
11 4 1
11 5 0
11 6 0
11 7 1
11 8 0
11 9 1
11 10 1
11 11 0
11 12 0
11 13 1
11 14 0
11 15 1
11 16 1
11 17 0
11 18 1
11 19 1
11 20 1
11 21 1
11 22 0
11 23 0
11 24 0
11 25 1
11 26 1
11 27 0
11 28 0
11 29 0
11 30 0
11 31 1
11 32 0
11 33 1
12 0 0
12 1 1
12 2 1
12 3 1
12 4 0
12 5 1
12 6 0
12 7 0
12 8 0
12 9 1
12 10 0
12 11 0
12 12 1
12 13 1
12 14 0
12 15 0
12 16 0
12 17 0
12 18 1
12 19 1
12 20 1
12 21 1
12 22 0
12 23 1
12 24 1
12 25 0
12 26 1
12 27 0
12 28 1
12 29 1
12 30 0
12 31 0
12 32 1
12 33 0
13 0 0
13 1 1
13 2 1
13 3 1
13 4 0
13 5 1
13 6 0
13 7 1
13 8 1
13 9 1
13 10 0
13 11 0
13 12 0
13 13 0
13 14 0
13 15 0
13 16 1
13 17 0
13 18 1
13 19 0
13 20 0
13 21 1
13 22 1
13 23 1
13 24 0
13 25 1
13 26 1
13 27 0
13 28 0
13 29 1
13 30 1
13 31 0
13 32 1
13 33 0
14 0 1
14 1 1
14 2 1
14 3 0
14 4 0
14 5 0
14 6 1
14 7 1
14 8 0
14 9 0
14 10 1
14 11 0
14 12 1
14 13 0
14 14 0
14 15 1
14 16 1
14 17 0
14 18 1
14 19 1
14 20 1
14 21 0
14 22 0
14 23 1
14 24 0
14 25 0
14 26 1
14 27 0
14 28 0
14 29 0
14 30 1
14 31 0
14 32 0
14 33 0
15 0 1
15 1 1
15 2 0
15 3 1
15 4 0
15 5 0
15 6 1
15 7 1
15 8 0
15 9 0
15 10 0
15 11 0
15 12 1
15 13 1
15 14 0
15 15 1
15 16 1
15 17 1
15 18 0
15 19 1
15 20 0
15 21 0
15 22 1
15 23 0
15 24 1
15 25 1
15 26 0
15 27 1
15 28 1
15 29 0
15 30 1
15 31 0
15 32 0
15 33 0
16 0 0
16 1 1
16 2 0
16 3 1
16 4 0
16 5 0
16 6 1
16 7 1
16 8 1
16 9 0
16 10 0
16 11 1
16 12 1
16 13 1
16 14 0
16 15 1
16 16 0
16 17 1
16 18 1
16 19 1
16 20 0
16 21 1
16 22 1
16 23 1
16 24 1
16 25 0
16 26 0
16 27 0
16 28 0
16 29 1
16 30 1
16 31 0
16 32 1
16 33 0
17 0 0
17 1 1
17 2 0
17 3 1
17 4 0
17 5 1
17 6 0
17 7 1
17 8 0
17 9 1
17 10 1
17 11 1
17 12 1
17 13 0
17 14 0
17 15 0
17 16 0
17 17 0
17 18 0
17 19 0
17 20 0
17 21 0
17 22 1
17 23 1
17 24 0
17 25 1
17 26 0
17 27 0
17 28 1
17 29 1
17 30 0
17 31 0
17 32 0
17 33 0
18 0 0
18 1 0
18 2 1
18 3 0
18 4 1
18 5 0
18 6 0
18 7 0
18 8 0
18 9 1
18 10 0
18 11 0
18 12 0
18 13 1
18 14 0
18 15 1
18 16 0
18 17 1
18 18 1
18 19 0
18 20 1
18 21 1
18 22 0
18 23 0
18 24 1
18 25 1
18 26 1
18 27 1
18 28 0
18 29 1
18 30 1
18 31 1
18 32 1
18 33 0
19 0 0
19 1 0
19 2 0
19 3 0
19 4 1
19 5 1
19 6 0
19 7 0
19 8 1
19 9 1
19 10 0
19 11 0
19 12 1
19 13 0
19 14 0
19 15 1
19 16 1
19 17 0
19 18 0
19 19 0
19 20 0
19 21 1
19 22 1
19 23 0
19 24 1
19 25 1
19 26 1
19 27 0
19 28 1
19 29 1
19 30 0
19 31 0
19 32 0
19 33 1
20 0 0
20 1 0
20 2 1
20 3 0
20 4 1
20 5 1
20 6 1
20 7 1
20 8 0
20 9 1
20 10 0
20 11 1
20 12 1
20 13 1
20 14 1
20 15 0
20 16 1
20 17 1
20 18 0
20 19 0
20 20 1
20 21 0
20 22 0
20 23 1
20 24 1
20 25 1
20 26 1
20 27 0
20 28 1
20 29 0
20 30 1
20 31 1
20 32 0
20 33 1
21 0 0
21 1 1
21 2 1
21 3 1
21 4 1
21 5 1
21 6 1
21 7 0
21 8 1
21 9 1
21 10 1
21 11 0
21 12 0
21 13 0
21 14 1
21 15 1
21 16 1
21 17 0
21 18 1
21 19 0
21 20 0
21 21 1
21 22 1
21 23 0
21 24 0
21 25 0
21 26 0
21 27 0
21 28 1
21 29 0
21 30 0
21 31 0
21 32 0
21 33 0
22 0 1
22 1 0
22 2 0
22 3 0
22 4 0
22 5 0
22 6 0
22 7 0
22 8 1
22 9 1
22 10 1
22 11 1
22 12 0
22 13 0
22 14 1
22 15 1
22 16 0
22 17 0
22 18 1
22 19 1
22 20 0
22 21 1
22 22 0
22 23 0
22 24 1
22 25 1
22 26 0
22 27 1
22 28 0
22 29 1
22 30 1
22 31 1
22 32 0
22 33 0
23 0 0
23 1 0
23 2 0
23 3 1
23 4 1
23 5 1
23 6 0
23 7 1
23 8 1
23 9 0
23 10 1
23 11 1
23 12 0
23 13 1
23 14 0
23 15 1
23 16 0
23 17 0
23 18 0
23 19 0
23 20 1
23 21 1
23 22 0
23 23 0
23 24 1
23 25 1
23 26 0
23 27 0
23 28 0
23 29 1
23 30 0
23 31 1
23 32 0
23 33 0
24 0 0
24 1 1
24 2 1
24 3 0
24 4 1
24 5 0
24 6 1
24 7 0
24 8 0
24 9 1
24 10 1
24 11 1
24 12 1
24 13 0
24 14 0
24 15 1
24 16 1
24 17 1
24 18 1
24 19 0
24 20 0
24 21 1
24 22 0
24 23 0
24 24 1
24 25 0
24 26 1
24 27 0
24 28 0
24 29 0
24 30 1
24 31 0
24 32 0
24 33 0
25 0 0
25 1 1
25 2 1
25 3 0
25 4 1
25 5 1
25 6 0
25 7 0
25 8 0
25 9 1
25 10 0
25 11 0
25 12 0
25 13 0
25 14 0
25 15 0
25 16 0
25 17 1
25 18 0
25 19 0
25 20 1
25 21 1
25 22 0
25 23 1
25 24 1
25 25 0
25 26 0
25 27 1
25 28 0
25 29 0
25 30 0
25 31 0
25 32 0
25 33 1
26 0 0
26 1 1
26 2 0
26 3 0
26 4 0
26 5 0
26 6 0
26 7 0
26 8 1
26 9 0
26 10 0
26 11 0
26 12 1
26 13 0
26 14 0
26 15 1
26 16 0
26 17 0
26 18 1
26 19 0
26 20 0
26 21 0
26 22 1
26 23 1
26 24 1
26 25 1
26 26 0
26 27 0
26 28 0
26 29 1
26 30 0
26 31 0
26 32 0
26 33 0
27 0 0
27 1 0
27 2 0
27 3 0
27 4 1
27 5 1
27 6 0
27 7 1
27 8 0
27 9 1
27 10 0
27 11 1
27 12 1
27 13 0
27 14 1
27 15 1
27 16 0
27 17 1
27 18 1
27 19 0
27 20 0
27 21 1
27 22 0
27 23 1
27 24 1
27 25 0
27 26 1
27 27 0
27 28 1
27 29 1
27 30 1
27 31 0
27 32 0
27 33 0
28 0 0
28 1 1
28 2 0
28 3 1
28 4 1
28 5 0
28 6 1
28 7 0
28 8 1
28 9 1
28 10 0
28 11 0
28 12 0
28 13 0
28 14 0
28 15 0
28 16 1
28 17 1
28 18 0
28 19 0
28 20 0
28 21 1
28 22 1
28 23 1
28 24 0
28 25 1
28 26 1
28 27 1
28 28 0
28 29 0
28 30 1
28 31 1
28 32 0
28 33 1
29 0 0
29 1 0
29 2 1
29 3 1
29 4 1
29 5 0
29 6 0
29 7 0
29 8 0
29 9 0
29 10 1
29 11 1
29 12 1
29 13 1
29 14 1
29 15 1
29 16 0
29 17 0
29 18 0
29 19 0
29 20 1
29 21 1
29 22 0
29 23 0
29 24 1
29 25 0
29 26 0
29 27 0
29 28 0
29 29 0
29 30 0
29 31 0
29 32 1
29 33 1
30 0 1
30 1 1
30 2 1
30 3 1
30 4 0
30 5 0
30 6 1
30 7 1
30 8 0
30 9 1
30 10 0
30 11 0
30 12 0
30 13 0
30 14 0
30 15 0
30 16 0
30 17 0
30 18 1
30 19 0
30 20 1
30 21 1
30 22 1
30 23 1
30 24 1
30 25 1
30 26 0
30 27 1
30 28 0
30 29 0
30 30 1
30 31 0
30 32 0
30 33 0
31 0 1
31 1 1
31 2 1
31 3 1
31 4 0
31 5 0
31 6 0
31 7 0
31 8 0
31 9 1
31 10 0
31 11 1
31 12 0
31 13 0
31 14 1
31 15 0
31 16 1
31 17 1
31 18 1
31 19 0
31 20 0
31 21 1
31 22 1
31 23 1
31 24 0
31 25 0
31 26 1
31 27 0
31 28 1
31 29 0
31 30 1
31 31 0
31 32 1
31 33 0
32 0 1
32 1 0
32 2 1
32 3 1
32 4 0
32 5 0
32 6 1
32 7 0
32 8 0
32 9 1
32 10 1
32 11 0
32 12 0
32 13 1
32 14 1
32 15 0
32 16 0
32 17 0
32 18 1
32 19 0
32 20 0
32 21 0
32 22 0
32 23 1
32 24 1
32 25 0
32 26 0
32 27 0
32 28 0
32 29 0
32 30 0
32 31 1
32 32 0
32 33 1
33 0 1
33 1 1
33 2 0
33 3 1
33 4 0
33 5 0
33 6 1
33 7 0
33 8 0
33 9 0
33 10 1
33 11 1
33 12 0
33 13 0
33 14 0
33 15 1
33 16 1
33 17 1
33 18 0
33 19 0
33 20 0
33 21 0
33 22 1
33 23 0
33 24 1
33 25 1
33 26 0
33 27 0
33 28 1
33 29 0
33 30 0
33 31 0
33 32 1
33 33 0
